"PAIS","COD_BODEGA","NOMBRE_BODEGA","UBICACION","TIPO_BODEGA"
NI,1650,SUPER EXPRESS SAN JUDAS,DISTRIBUIDOR,COMERCIALIZABLE
NI,1701,HOLA POSPAGO,DISTRIBUIDOR,COMERCIALIZABLE
NI,1703,PROMIX POSPAGO,DISTRIBUIDOR,COMERCIALIZABLE
NI,1710,BODEGA PUMA LINDA VISTA,DISTRIBUIDOR,COMERCIALIZABLE
NI,1728,JAVIER FERNANDO ZC,DISTRIBUIDOR,COMERCIALIZABLE
NI,1732,OMAR ANTONIO MORALES BARRANTES,DISTRIBUIDOR,COMERCIALIZABLE
NI,1741,SUPER EXPRESS SAN ANDRES,DISTRIBUIDOR,COMERCIALIZABLE
NI,1753,AMPM ESTELI,DISTRIBUIDOR,COMERCIALIZABLE
NI,1756,OSCAR ORDE??ANA PICHARDO,DISTRIBUIDOR,COMERCIALIZABLE
NI,1760,IVETH ACOSTA SUAREZ CELULARES,DISTRIBUIDOR,COMERCIALIZABLE
NI,1785,AMPM MATAGALPA,DISTRIBUIDOR,COMERCIALIZABLE
NI,1792,TICAL-BODEGA DE MERMA,BOD CENTRAL,NO COMERCIALIZABLE
NI,1796,TICAL-BODEGA CENTRAL,BOD CENTRAL,COMERCIALIZABLE
NI,1814,BODEGA EXHIBICION BOACO,BOD BOACO,NO COMERCIALIZABLE
NI,1840,RAMON ANTONIO CALDERON UMANA,DISTRIBUIDOR,COMERCIALIZABLE
NI,1858,EDUARDO ZAMORA VEGA,DISTRIBUIDOR,COMERCIALIZABLE
NI,1859,BODEGA TELERENOVA NETMOBILE,SAN DIONISIO,COMERCIALIZABLE
NI,1535,MAURY ROSIBEL BLANDON-EQUIPOS,DISTRIBUIDOR,COMERCIALIZABLE
NI,1900,AMPM LEON,DISTRIBUIDOR,COMERCIALIZABLE
NI,1908,YELITZA DAMARYS LIRA MENDEZ_CT,DISTRIBUIDOR,COMERCIALIZABLE
NI,888,ERVIN JONHY ARAUZ LOPEZ,DISTRIBUIDOR,COMERCIALIZABLE
NI,886,PRESTAMO BOACO,BOD BOACO,NO COMERCIALIZABLE
NI,927,BODEGA DE EXHIBICION VIP,BOD GALERIAS,NO COMERCIALIZABLE
NI,944,BODEGA C. METROCENTRO 2,BOD METROCENTRO,COMERCIALIZABLE
NI,971,D.V VENTAS LINDA VISTA,VIRTUAL,NO COMERCIALIZABLE
NI,973,D.V VENTAS PLAZA ESPAÂ¿A,NO COMERCIALIZABLE ,NO COMERCIALIZABLE
NI,986,D.V VENTAS JINOTEPE,BOD JINOTEPE,NO COMERCIALIZABLE
NI,1069,PROYECTO RECONSTRUC TERMINALES,TALLER,NO COMERCIALIZABLE
NI,1073,BODEGA CANAL MIXTO-MANAGUA 2,MIXTO,COMERCIALIZABLE
NI,1155,LARRY CHAVARRIA,DISTRIBUIDOR,COMERCIALIZABLE
NI,1185,BODEGA PTE. DESC. GALERIA,BOD GALERIAS,COMERCIALIZABLE
NI,1193,BODEGA PTE. DESC. P.ESPANA,BOD PLAZA ESPANA,COMERCIALIZABLE
NI,1198,BODEGA PTE. DESC. CHINAN 1,BOD CHINANDEGA,COMERCIALIZABLE
NI,1290,DIGESA,DISTRIBUIDOR,COMERCIALIZABLE
NI,1304,BODEGA C.RIO BLANCO,BOD RIO BLANCO,COMERCIALIZABLE
NI,1307,CD RIO BLANCO,BOD RIO BLANCO,COMERCIALIZABLE
NI,1360,BODEGA CANAL MIXTO-CARAZO,MIXTO,COMERCIALIZABLE
NI,1363,CALL CENTER SERVICES,DISTRIBUIDOR,COMERCIALIZABLE
NI,1439,BODEGA DE EXHIBICION GRANADA,BOD GRANADA,NO COMERCIALIZABLE
NI,1453,BODEGA  EXHIBICION CHINAND 1,BOD CHINANDEGA,NO COMERCIALIZABLE
NI,1489,PUNTO IDEAL SALVADORITA,DISTRIBUIDOR,COMERCIALIZABLE
NI,822,CD BLUEFIELDS,BOD BLUEFIELDS,NO COMERCIALIZABLE
NI,892,CD BOACO,BOD BOACO,COMERCIALIZABLE
NI,780,CD CHINANDEGA,BOD CHINANDEGA,COMERCIALIZABLE
NI,864,CD JINOTEGA,BOD JINOTEGA,COMERCIALIZABLE
NI,778,CD JUIGALPA,BOD JUIGALPA,COMERCIALIZABLE
NI,891,CD NUEVA GUINEA,BOD NVA GUINEA,COMERCIALIZABLE
NI,1871,BODEGA PRESTAMO ONS P. ESPANA,TALLER,COMERCIALIZABLE
NI,1870,BODEGA PRESTAMO ONS,TALLER,COMERCIALIZABLE
NI,1880,BODEGA PRESTAMO ONS MASAYA,TALLER,COMERCIALIZABLE
NI,724,EQUIPOS PRESTAMO SOLUCEL P.E,TALLER,NO COMERCIALIZABLE
NI,1875,BODEGA PRESTAMO ONS CHINANDEGA,TALLER,COMERCIALIZABLE
NI,1980,ALMACEN TIGO MANAGUA,BOD CENTRAL,COMERCIALIZABLE
NI,1979,ALMACEN TIGO CENTRAL,BOD CENTRAL,COMERCIALIZABLE
NI,1207,BODEGA PTE. DESC. ESTELI,SAN DIONISIO,COMERCIALIZABLE
NI,1872,BODEGA PRESTAMO ONS TIPITAPA,TALLER,COMERCIALIZABLE
NI,1985,ALMACEN TIGO RESERVADO,BOD CENTRAL,COMERCIALIZABLE
NI,1882,BODEGA PRESTAMO ONS RIVAS,TALLER,COMERCIALIZABLE
NI,1884,BODEGA PRESTAMO ONS GRANADA,TALLER,COMERCIALIZABLE
NI,1885,BODEGA PRESTAMO ONS JUIGALPA,TALLER,COMERCIALIZABLE
NI,1886,BODEGA PRESTAMO ONS RIO BLANCO,TALLER,COMERCIALIZABLE
NI,1887,BODEGA PRESTAMO ONS N. GUINEA,TALLER,COMERCIALIZABLE
NI,2,BODEGA C C MASAYA (NSH),BOD EDIF,COMERCIALIZABLE
NI,131,ICA,DISTRIBUIDOR,COMERCIALIZABLE
NI,143,SIGNAL,DISTRIBUIDOR,NO COMERCIALIZABLE
NI,148,VERITA,DISTRIBUIDOR,COMERCIALIZABLE
NI,225,COMUNICELL,DISTRIBUIDOR,COMERCIALIZABLE
NI,233,VARIEDADES JONSSI,DISTRIBUIDOR,COMERCIALIZABLE
NI,285,"SILVA INTERNACIONAL SINSA, S.A",DISTRIBUIDOR,COMERCIALIZABLE
NI,380,SEED STOCK NORTE,NO COMERCIALIZABLE ,NO COMERCIALIZABLE
NI,386,SEED STOCK CENTRAL,NO COMERCIALIZABLE ,NO COMERCIALIZABLE
NI,410,BODEGA C. LINDA VISTA,BOD LINDA VISTA,COMERCIALIZABLE
NI,451,MINI CAPS JINOTEGA JONSSI,DISTRIBUIDOR,COMERCIALIZABLE
NI,497,CAMIONETA 31 BOACO-MATAGALPA,PANEL,COMERCIALIZABLE
NI,549,MINI CAPS LA DALIA,MINICAP,COMERCIALIZABLE
NI,650,BODEGA EQPS REPARADOS,BOD CENTRAL,NO COMERCIALIZABLE
NI,658,BODEGA DE EXHIBICION CHINAN 3,NO COMERCIALIZABLE ,NO COMERCIALIZABLE
NI,685,MINICAP SN JUAN DEL SUR,MINICAP,COMERCIALIZABLE
NI,708,BODEGA C. CHINANDEGA 3,BOD CHINANDEGA 3,COMERCIALIZABLE
NI,750,SEED STOCK CIUDAD JARDIN,NO COMERCIALIZABLE ,NO COMERCIALIZABLE
NI,1878,BODEGA PRESTAMO ONS JINOTEPE,TALLER,COMERCIALIZABLE
NI,1919,AMPM IVAN MONTENEGRO,DISTRIBUIDOR,COMERCIALIZABLE
NI,1954,NETSOLUTIONS,VTAS/INST DTH,COMERCIALIZABLE
NI,1971,PRO MUJER PROMIX,DISTRIBUIDOR,COMERCIALIZABLE
NI,10744,BODEGA CANAL MIXTO-CIUDAD SAND,MIXTO,COMERCIALIZABLE
NI,475,PANEL 8 MATAG/JINOTEGA,PANEL,COMERCIALIZABLE
NI,709,SEED STOCK CHINANDEGA 3,NO COMERCIALIZABLE ,NO COMERCIALIZABLE
NI,868,BODEGA DE EXHIBICION VERACRUZ,NO COMERCIALIZABLE ,NO COMERCIALIZABLE
NI,878,SEED STOCK CHICHIGALPA,NO COMERCIALIZABLE ,NO COMERCIALIZABLE
NI,929,BODEGA SEED STOCK EL VIEJO,NO COMERCIALIZABLE ,NO COMERCIALIZABLE
NI,930,EQ. PREST. SOLUCEL BLUEFIELDS,BOD BLUEFIELDS,COMERCIALIZABLE
NI,965,D.V VENTAS CHINANDEGA 2,BOD CHINANDEGA,NO COMERCIALIZABLE
NI,969,D.V VENTAS MULTICENTRO 1,NO COMERCIALIZABLE ,NO COMERCIALIZABLE
NI,972,D.V VENTAS C.NORTE,NO COMERCIALIZABLE ,NO COMERCIALIZABLE
NI,978,D.V VENTAS INDIVIDUALES,NO COMERCIALIZABLE ,NO COMERCIALIZABLE
NI,982,D.V VENTAS CIUDAD JARDIN,NO COMERCIALIZABLE ,NO COMERCIALIZABLE
NI,985,D.V VENTAS JUIGALPA,BOD JUIGALPA,NO COMERCIALIZABLE
NI,988,D.V VENTAS MASAYA,NO COMERCIALIZABLE ,NO COMERCIALIZABLE
NI,992,D.V VENTAS LEON,NO COMERCIALIZABLE ,NO COMERCIALIZABLE
NI,1879,BODEGA PRESTAMO ONS LEON,TALLER,COMERCIALIZABLE
NI,743,POST VENTA NEGOCIOS,SAN DIONISIO,COMERCIALIZABLE
NI,1965,SEED STOCK B2B,BOD B2B,NO COMERCIALIZABLE
NI,1039,MINI CAPS PANTASMA,MINICAP,COMERCIALIZABLE
NI,1071,BODEGA CANAL MIXTO-MANAGUA 1,MIXTO,COMERCIALIZABLE
NI,1072,BODEGA CANAL MIXTO-TIPITAPA,MIXTO,COMERCIALIZABLE
NI,1120,CAMIO 107 OPER.ESPE-EQUI Y TAR,PANEL,COMERCIALIZABLE
NI,1150,CAMIO 98 OPER.ESPE-EQUI Y TAR,PANEL,COMERCIALIZABLE
NI,1228,MICROBUS 119_TARJETAS,PANEL,COMERCIALIZABLE
NI,1280,SIMCARDS LEON,SIMCARDS LEON,COMERCIALIZABLE
NI,1291,HUGO ALEJANDRO MARTINEZ,DISTRIBUIDOR,COMERCIALIZABLE
NI,1293,ICA PREPAGO CAPS METROCENTRO,DISTRIBUIDOR,COMERCIALIZABLE
NI,1298,ICA PREPAGO TIENDAS LAS AMERIC,DISTRIBUIDOR,COMERCIALIZABLE
NI,1358,BODEGA CANAL MIXTO-JINOTEGA,MIXTO,COMERCIALIZABLE
NI,1361,BODEGA CANAL MIXTO-MASAYA ,MIXTO,COMERCIALIZABLE
NI,1362,BODEGA CANAL MIXTO-MATAGALPA,MIXTO,COMERCIALIZABLE
NI,1459,BODEGA CANAL MIXTO - ESTELI,MIXTO,COMERCIALIZABLE
