"PAIS","COD_SKU","FAMILY","MODEL_NAME","BRAND","TIER","STATUS"
PA,"1411",HONOR MAGIC 5 LITE 8GB+256GB,HONOR MAGIC 5 LITE 8GB+256GB,HONOR,HIGH,EOL
PA,"1438",SAMSUNG GALAXY Z FLIP5 8GB+512GB,SAMSUNG GALAXY Z FLIP5 8GB+512GB,SAMSUNG,FLAGSHIP,EOL
PA,"1577",HONOR X6A PLUS 6GB+128GB,HONOR X6A PLUS 6GB+128GB,HONOR,MID,EOL
PA,"1595",SAMSUNG GALAXY A05 4GB+128GB,SAMSUNG GALAXY A05 4GB+128GB,SAMSUNG,MID,EOL
PA,"1602",SAMSUNG GALAXY A15 6GB+128GB,SAMSUNG GALAXY A15 6GB+128GB,SAMSUNG,MID,EOL
PA,"1666",HONOR X8B 8GB+512GB,HONOR X8B 8GB+512GB,HONOR,MIDHIGH,EOL
PA,"1664",HONOR X6A PLUS 6GB+256GB,HONOR X6A PLUS 6GB+256GB,HONOR,MID,EOL
PA,"1617",SAMSUNG GALAXY A35 5G 8GB+256GB,SAMSUNG GALAXY A35 5G 8GB+256GB,SAMSUNG,MIDHIGH,EOL
PA,"1667",HONOR X8B 8GB+512GB,HONOR X8B 8GB+512GB,HONOR,MIDHIGH,EOL
PA,"1641",HONOR X7B 8GB+256GB,HONOR X7B 8GB+256GB,HONOR,MID,EOL
PA,"1755",SAMSUNG GALAXY S24 FE 8GB+256GB,SAMSUNG GALAXY S24 FE 8GB+256GB,SAMSUNG,ULTRA HIGH,ACTIVO
PA,"1761",HONOR X7B 8GB+256GB,HONOR X7B 8GB+256GB,HONOR,MID,EOL
PA,"1739",IPHONE 16 5G 128GB,IPHONE 16 5G 128GB,APPLE,FLAGSHIP,ACTIVO
PA,"1743",IPHONE 16 PRO MAX 5G 256GB,IPHONE 16 PRO MAX 5G 256GB,APPLE,FLAGSHIP,ACTIVO
PA,"1741",IPHONE 16 5G 256GB,IPHONE 16 5G 256GB,APPLE,FLAGSHIP,ACTIVO
PA,"1754",SAMSUNG GALAXY A06 4GB+128GB,SAMSUNG GALAXY A06 4GB+128GB,SAMSUNG,MIDLOW,ACTIVO
PA,"1744",IPHONE 16 PRO MAX 5G 256GB,IPHONE 16 PRO MAX 5G 256GB,APPLE,FLAGSHIP,ACTIVO
PA,"1757",SAMSUNG TAB A9 4GB+64GB,SAMSUNG TAB A9 4GB+64GB,SAMSUNG,ULTRA HIGH,EOL
PA,"1749",SAMSUNG GALAXY A16 5G 6GB+128GB,SAMSUNG GALAXY A16 5G 6GB+128GB,SAMSUNG,MID,ACTIVO
PA,"1740",IPHONE 16 5G 128GB,IPHONE 16 5G 128GB,APPLE,FLAGSHIP,ACTIVO
PA,"1728",HONOR 200 LITE 5G 8GB+256GB,HONOR 200 LITE 5G 8GB+256GB,HONOR,MIDHIGH,EOL
