"PAIS","COD_SKU","FAMILY","MODEL_NAME","BRAND","TIER","STATUS"
NI,2332,SAMSUNG GALAXY J7 PRIME DS LTE,SAMSUNG GALAXY J7 PRIME WHIT/GOLD DS LTE,SAMSUNG,MID HIGH,OBSOLETE
NI,2333,SAMSUNG GALAXY S8 64GB LTE,SAMSUNG GALAXY S8 GOLD 64GB DS LTE,SAMSUNG,FLAGSHIP,OBSOLETE
NI,2336,SAMSUNG GALAXY S8 PLUS 64GB LTE,KIT SAMSUNG G. S8 PLUS BLACK 64GB LTE,SAMSUNG,FLAGSHIP,OBSOLETE
NI,2338,HUAWEI MATE 9,KIT HUAWEI MATE 9 SIL VER LTE,HUAWEI,ULTRA HIGH,OBSOLETE
NI,2340,HUAWEI MEDIA PAD M2 8.0 16GB LTE,HUAWEI MEDIA PAD M2 8.0 16GB LTE,HUAWEI,OTHERS,OBSOLETE
NI,2341,BMOBILE AX820,BMOBILE AX820 GOLD,BMOBILE,LOW,OBSOLETE
NI,2342,BMOBILE AX820,KIT BMOBILE AX820 GOLD,BMOBILE,LOW,OBSOLETE
NI,2343,IPHONE 7 PLUS 128GB LTE,IPHONE 7 PLUS BLACK 128GB LTE,APPLE,ULTRA HIGH,OBSOLETE
NI,2344,HUAWEI Y6 II LTE,HUAWEI Y6 II GOLD DS LTE,HUAWEI,MID,OBSOLETE
NI,2345,HUAWEI Y6 II LTE,KIT HUAWEI Y6 II GOLD DS LTE,HUAWEI,MID,OBSOLETE
NI,2347,ALCATEL 5044 U5 LTE,KIT ALCATEL 5044A U5 GRAY LTE,ALCATEL,LOW,OBSOLETE
NI,2348,HUAWEI Y5 2017 LTE,HUAWEI Y5 2017 GRAY DS LTE,HUAWEI,MID LOW,OBSOLETE
NI,2349,HUAWEI Y5 2017 LTE,KIT HUAWEI Y5 2017 GRAY DS LTE,HUAWEI,MID LOW,OBSOLETE
NI,2350,HUAWEI Y5 2017 LTE,HUAWEI Y5 2017 GOLD DS LTE,HUAWEI,MID LOW,OBSOLETE
